"species","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year"
"Oncorhynchus mykiss",-123.211008,45.469698,4,2025
"Oncorhynchus mykiss",-149.212545,61.553832,95,2025
"Oncorhynchus mykiss",-119.999603,39.23847,12,2025
"Oncorhynchus mykiss",-121.230139,38.634449,22,2025
"Oncorhynchus mykiss",-123.217531,45.482887,2564,2025
"Oncorhynchus mykiss",-122.441995,40.706955,20,2025
"Oncorhynchus mykiss",-106.755232,32.30853,22,2025
"Oncorhynchus mykiss",-123.672179,43.973387,42,2025
"Oncorhynchus mykiss",-123.672313,43.974023,20,2025
"Oncorhynchus mykiss",-123.672173,43.974271,20,2025
"Oncorhynchus mykiss",-123.67221,43.974134,24,2025
"Oncorhynchus mykiss",-116.093955,50.499987,4,2025
"Oncorhynchus mykiss",-123.67224,43.973387,15,2025
"Oncorhynchus mykiss",-123.672164,43.973436,20,2025
"Oncorhynchus mykiss",-123.672334,43.973905,20,2025
"Oncorhynchus mykiss",-123.672117,43.973332,20,2025
"Oncorhynchus mykiss",-123.672294,43.974192,20,2025
"Oncorhynchus mykiss",-123.67235,43.973709,24,2025
"Oncorhynchus mykiss",-123.672148,43.973155,20,2025
"Oncorhynchus mykiss",-106.756307,32.308024,2,2025
"Oncorhynchus mykiss",-123.672353,43.974018,20,2025
"Oncorhynchus mykiss",-123.672291,43.97366,73,2025
"Oncorhynchus mykiss",-123.672217,43.974175,20,2025
"Oncorhynchus mykiss",-123.67209,43.973208,20,2025
"Oncorhynchus mykiss",-123.672128,43.974379,24,2025
"Oncorhynchus mykiss",-123.672201,43.974207,20,2025
"Oncorhynchus mykiss",-111.652799,35.204634,685,2025
"Oncorhynchus mykiss",-117.189208,34.24834,6793,2025
"Oncorhynchus mykiss",-110.71122,32.387344,20,2025
"Oncorhynchus mykiss",-123.672269,43.974285,20,2025
"Oncorhynchus mykiss",-122.502514,38.437391,308,2025
"Oncorhynchus mykiss",-121.269837,38.63438,206,2025
"Oncorhynchus mykiss",-121.656937,38.193417,1892,2025
"Oncorhynchus mykiss",-121.562347,38.073208,2,2025
"Oncorhynchus mykiss",-112.888902,42.761557,760,2025
"Oncorhynchus mykiss",-122.386534,44.122948,149,2025
"Oncorhynchus mykiss",-111.941223,41.50427,NA,2025
